epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,1508.69,0.55902,0.81343,0.37152,0.88155,0.98291,0.949,0.98905,0.79539,0.9563,0.94119,0.97613,0.70847,0.64367,0.96823,0.37873,0.92542,0.000570743,0.000570743,0.000570743
93,1524.94,0.59035,0.85754,0.38761,0.89775,0.96976,0.9341,0.98677,0.79496,0.96032,0.9267,0.97402,0.70655,0.65396,0.97045,0.38713,0.92702,0.000561311,0.000561311,0.000561311
94,1541.18,0.5618,0.80273,0.37061,0.89141,0.95972,0.94911,0.98365,0.7927,0.94468,0.93449,0.97015,0.70638,0.65786,0.9804,0.39408,0.93516,0.00055188,0.00055188,0.00055188
95,1557.38,0.55855,0.81499,0.36824,0.88512,0.9712,0.94422,0.98069,0.78871,0.95429,0.93913,0.97474,0.712,0.64166,0.97206,0.38654,0.9235,0.000542448,0.000542448,0.000542448
96,1573.56,0.56035,0.82115,0.37461,0.87775,0.9805,0.94222,0.98788,0.7962,0.96352,0.92653,0.96799,0.69888,0.64175,0.97583,0.37658,0.92296,0.000533017,0.000533017,0.000533017
97,1589.89,0.5728,0.82539,0.37852,0.8889,0.9518,0.97164,0.9897,0.79478,0.96356,0.93108,0.97505,0.70338,0.64642,0.97272,0.38056,0.92968,0.000523586,0.000523586,0.000523586
98,1606.07,0.5783,0.83425,0.37926,0.89428,0.9825,0.95831,0.98792,0.78782,0.96626,0.93579,0.96669,0.69543,0.65043,0.97948,0.37007,0.92976,0.000514154,0.000514154,0.000514154
99,1622.42,0.54336,0.80666,0.36501,0.87895,0.95795,0.97779,0.9896,0.80495,0.96302,0.9386,0.9732,0.70216,0.63969,0.97226,0.36711,0.92882,0.000504723,0.000504723,0.000504723
100,1638.55,0.54745,0.80531,0.36264,0.87499,0.98169,0.94417,0.98125,0.78637,0.96591,0.93056,0.96966,0.69531,0.64076,0.96397,0.37208,0.93251,0.000495291,0.000495291,0.000495291
101,1654.79,0.55747,0.82107,0.36993,0.88976,0.97693,0.94346,0.98489,0.79271,0.97344,0.94463,0.97974,0.6839,0.65125,0.9933,0.36992,0.9298,0.00048586,0.00048586,0.00048586
102,1670.98,0.55303,0.8122,0.36384,0.88215,0.9741,0.96914,0.98558,0.78811,0.95975,0.95713,0.97139,0.69563,0.65254,0.96402,0.37887,0.93369,0.000476429,0.000476429,0.000476429
103,1687.27,0.54474,0.79041,0.35574,0.87926,0.97646,0.9561,0.98956,0.80403,0.96595,0.9463,0.97931,0.70843,0.62924,0.96252,0.37034,0.92535,0.000466997,0.000466997,0.000466997
104,1703.5,0.53895,0.8077,0.35205,0.88484,0.98294,0.93811,0.98645,0.8019,0.96816,0.9256,0.96572,0.71254,0.63719,0.9626,0.37733,0.92447,0.000457566,0.000457566,0.000457566
105,1719.92,0.55694,0.79905,0.36185,0.88511,0.96658,0.9496,0.9804,0.79383,0.95681,0.94086,0.96729,0.70267,0.62954,0.95992,0.3714,0.92718,0.000448134,0.000448134,0.000448134
106,1736.12,0.55401,0.78807,0.36489,0.88539,0.98437,0.95518,0.98856,0.79602,0.97797,0.94835,0.97321,0.70366,0.63731,0.97996,0.37161,0.92721,0.000438703,0.000438703,0.000438703
107,1752.57,0.53924,0.7827,0.34469,0.87811,0.97806,0.95343,0.98872,0.79681,0.96602,0.93351,0.96517,0.71228,0.63598,0.95936,0.37346,0.9258,0.000429272,0.000429272,0.000429272
108,1768.69,0.55567,0.80289,0.36111,0.88637,0.98226,0.96144,0.98678,0.8014,0.96361,0.94575,0.97319,0.7123,0.65543,0.97614,0.37786,0.9323,0.00041984,0.00041984,0.00041984
109,1784.95,0.53511,0.78788,0.34684,0.87816,0.97791,0.95998,0.99075,0.80915,0.97318,0.94053,0.97884,0.71888,0.63276,0.96697,0.37059,0.92369,0.000410409,0.000410409,0.000410409
110,1801.04,0.55022,0.78968,0.34995,0.88273,0.97374,0.95692,0.9871,0.80513,0.96481,0.94907,0.97354,0.71087,0.63309,0.98416,0.37312,0.92701,0.000400977,0.000400977,0.000400977
111,1817.47,0.53218,0.77512,0.3441,0.88002,0.97835,0.95464,0.98812,0.8055,0.97229,0.94888,0.98063,0.71863,0.63953,0.96205,0.3804,0.92602,0.000391546,0.000391546,0.000391546
112,1833.63,0.53767,0.79917,0.34793,0.88088,0.97237,0.96524,0.98982,0.81351,0.96494,0.93898,0.96666,0.71167,0.63229,0.97233,0.36948,0.92658,0.000382115,0.000382115,0.000382115
113,1849.9,0.53529,0.80447,0.34414,0.87611,0.97171,0.97059,0.98762,0.79848,0.96369,0.96274,0.9776,0.7184,0.64143,0.95022,0.37005,0.93601,0.000372683,0.000372683,0.000372683
114,1866.08,0.52692,0.76322,0.34409,0.87405,0.98401,0.96423,0.98828,0.80968,0.97116,0.94806,0.97145,0.71761,0.6342,0.96006,0.36677,0.92969,0.000363252,0.000363252,0.000363252
115,1882.49,0.52022,0.77015,0.33926,0.87714,0.95226,0.96562,0.98265,0.80335,0.94297,0.95673,0.97205,0.71572,0.6338,0.96775,0.37461,0.92868,0.00035382,0.00035382,0.00035382
116,1898.61,0.52323,0.76654,0.33843,0.87669,0.96623,0.95568,0.98946,0.79959,0.957,0.94679,0.97462,0.71394,0.63238,0.97134,0.36854,0.92668,0.000344389,0.000344389,0.000344389
117,1914.96,0.53129,0.78515,0.34429,0.87664,0.9827,0.96168,0.98847,0.80494,0.97426,0.95341,0.9758,0.72212,0.63225,0.97135,0.37198,0.92586,0.000334958,0.000334958,0.000334958
118,1931.48,0.51482,0.75853,0.34397,0.87993,0.97195,0.96249,0.98727,0.8092,0.9627,0.96144,0.98051,0.71808,0.62511,0.97964,0.37381,0.92827,0.000325526,0.000325526,0.000325526
119,1947.75,0.5329,0.77641,0.3454,0.87729,0.97774,0.95037,0.98574,0.81049,0.96976,0.94247,0.97239,0.71413,0.61777,0.96001,0.3631,0.92613,0.000316095,0.000316095,0.000316095
120,1964.25,0.51734,0.7771,0.33574,0.87268,0.98159,0.9616,0.9864,0.81282,0.97438,0.95493,0.97774,0.70908,0.6279,0.97388,0.35674,0.92539,0.000306663,0.000306663,0.000306663
121,1980.31,0.51876,0.76784,0.33462,0.86916,0.9832,0.95942,0.98516,0.81046,0.97573,0.94986,0.97046,0.71815,0.63312,0.97948,0.36161,0.92667,0.000297232,0.000297232,0.000297232
122,1996.8,0.52211,0.78725,0.34357,0.8775,0.97359,0.96276,0.9853,0.8091,0.9786,0.93632,0.97392,0.72405,0.62706,0.96832,0.35383,0.92352,0.000287801,0.000287801,0.000287801
123,2013.08,0.51865,0.75734,0.3358,0.87511,0.97486,0.95708,0.98459,0.8079,0.97767,0.93251,0.96616,0.71838,0.62433,0.96703,0.34776,0.92555,0.000278369,0.000278369,0.000278369
124,2029.44,0.49788,0.73082,0.32843,0.86601,0.97552,0.95464,0.98917,0.81723,0.96745,0.9468,0.98034,0.7172,0.61761,0.97777,0.35862,0.92118,0.000268938,0.000268938,0.000268938
125,2045.61,0.5241,0.77917,0.34196,0.87463,0.97972,0.95488,0.98966,0.81881,0.98569,0.92732,0.97543,0.72538,0.61482,0.98087,0.35285,0.92061,0.000259506,0.000259506,0.000259506
